name,specialty,address,lat,lng
General Hospital,General Practice,123 Main St,29.4241,-98.4936
City Clinic,Pediatrics,456 Elm St,29.4251,-98.4946
Health Center,Cardiology,789 Oak St,29.4261,-98.4956
Wellness Center,Dentistry,321 Pine St,29.4271,-98.4966
Family Health,Family Medicine,654 Maple St,29.4281,-98.4976
Community Care,Internal Medicine,987 Cedar St,29.4291,-98.4986
Urgent Care,Emergency Medicine,135 Birch St,29.4301,-98.4996
Specialty Clinic,Orthopedics,246 Spruce St,29.4311,-98.5006
Rehab Center,Physical Therapy,357 Willow St,29.4321,-98.5016
Mental Health Services,Psychiatry,468 Ash St,29.4331,-98.5026
